主キー,学年,漢字
1,1,一
2,1,右
3,1,雨
4,1,円
5,1,王
6,1,音
7,1,下
8,1,火
9,1,花
10,1,貝
11,1,学
12,1,気
13,1,九
14,1,休
15,1,玉
16,1,金
17,1,空
18,1,月
19,1,犬
20,1,見
21,1,五
22,1,口
23,1,校
24,1,左
25,1,三
26,1,山
27,1,子
28,1,四
29,1,糸
30,1,字
31,1,耳
32,1,七
33,1,車
34,1,手
35,1,十
36,1,出
37,1,女
38,1,小
39,1,上
40,1,森
41,1,人
42,1,水
43,1,正
44,1,生
45,1,青
46,1,夕
47,1,石
48,1,赤
49,1,千
50,1,川
51,1,先
52,1,早
53,1,草
54,1,足
55,1,村
56,1,大
57,1,男
58,1,竹
59,1,中
60,1,虫
61,1,町
62,1,天
63,1,田
64,1,土
65,1,二
66,1,日
67,1,入
68,1,年
69,1,白
70,1,八
71,1,百
72,1,文
73,1,木
74,1,本
75,1,名
76,1,目
77,1,立
78,1,力
79,1,林
80,1,六
81,2,引
82,2,羽
83,2,雲
84,2,園
85,2,遠
86,2,何
87,2,科
88,2,夏
89,2,家
90,2,歌
91,2,画
92,2,回
93,2,会
94,2,海
95,2,絵
96,2,外
97,2,角
98,2,楽
99,2,活
100,2,間
101,2,丸
102,2,岩
103,2,顔
104,2,汽
105,2,記
106,2,帰
107,2,弓
108,2,牛
109,2,魚
110,2,京
111,2,強
112,2,教
113,2,近
114,2,兄
115,2,形
116,2,計
117,2,元
118,2,言
119,2,原
120,2,戸
121,2,古
122,2,午
123,2,後
124,2,語
125,2,工
126,2,公
127,2,広
128,2,交
129,2,光
130,2,考
131,2,行
132,2,高
133,2,黄
134,2,合
135,2,谷
136,2,国
137,2,黒
138,2,今
139,2,才
140,2,細
141,2,作
142,2,算
143,2,止
144,2,市
145,2,矢
146,2,姉
147,2,思
148,2,紙
149,2,寺
150,2,自
151,2,時
152,2,室
153,2,社
154,2,弱
155,2,首
156,2,秋
157,2,週
158,2,春
159,2,書
160,2,少
161,2,場
162,2,色
163,2,食
164,2,心
165,2,新
166,2,親
167,2,図
168,2,数
169,2,西
170,2,声
171,2,星
172,2,晴
173,2,切
174,2,雪
175,2,船
176,2,線
177,2,前
178,2,組
179,2,走
180,2,多
181,2,太
182,2,体
183,2,台
184,2,地
185,2,池
186,2,知
187,2,茶
188,2,昼
189,2,長
190,2,鳥
191,2,朝
192,2,直
193,2,通
194,2,弟
195,2,店
196,2,点
197,2,電
198,2,刀
199,2,冬
200,2,当
201,2,東
202,2,答
203,2,頭
204,2,同
205,2,道
206,2,読
207,2,内
208,2,南
209,2,肉
210,2,馬
211,2,売
212,2,買
213,2,麦
214,2,半
215,2,番
216,2,父
217,2,風
218,2,分
219,2,聞
220,2,米
221,2,歩
222,2,母
223,2,方
224,2,北
225,2,毎
226,2,妹
227,2,万
228,2,明
229,2,鳴
230,2,毛
231,2,門
232,2,夜
233,2,野
234,2,友
235,2,用
236,2,曜
237,2,来
238,2,里
239,2,理
240,2,話
241,3,悪
242,3,安
243,3,暗
244,3,医
245,3,委
246,3,意
247,3,育
248,3,員
249,3,院
250,3,飲
251,3,運
252,3,泳
253,3,駅
254,3,央
255,3,横
256,3,屋
257,3,温
258,3,化
259,3,荷
260,3,界
261,3,開
262,3,階
263,3,寒
264,3,感
265,3,漢
266,3,館
267,3,岸
268,3,起
269,3,期
270,3,客
271,3,究
272,3,急
273,3,級
274,3,宮
275,3,球
276,3,去
277,3,橋
278,3,業
279,3,曲
280,3,局
281,3,銀
282,3,区
283,3,苦
284,3,具
285,3,君
286,3,係
287,3,軽
288,3,血
289,3,決
290,3,研
291,3,県
292,3,庫
293,3,湖
294,3,向
295,3,幸
296,3,港
297,3,号
298,3,根
299,3,祭
300,3,皿
301,3,仕
302,3,死
303,3,使
304,3,始
305,3,指
306,3,歯
307,3,詩
308,3,次
309,3,事
310,3,持
311,3,式
312,3,実
313,3,写
314,3,者
315,3,主
316,3,守
317,3,取
318,3,酒
319,3,受
320,3,州
321,3,拾
322,3,終
323,3,習
324,3,集
325,3,住
326,3,重
327,3,宿
328,3,所
329,3,暑
330,3,助
331,3,昭
332,3,消
333,3,商
334,3,章
335,3,勝
336,3,乗
337,3,植
338,3,申
339,3,身
340,3,神
341,3,真
342,3,深
343,3,進
344,3,世
345,3,整
346,3,昔
347,3,全
348,3,相
349,3,送
350,3,想
351,3,息
352,3,速
353,3,族
354,3,他
355,3,打
356,3,対
357,3,待
358,3,代
359,3,第
360,3,題
361,3,炭
362,3,短
363,3,談
364,3,着
365,3,注
366,3,柱
367,3,丁
368,3,帳
369,3,調
370,3,追
371,3,定
372,3,庭
373,3,笛
374,3,鉄
375,3,転
376,3,都
377,3,度
378,3,投
379,3,豆
380,3,島
381,3,湯
382,3,登
383,3,等
384,3,動
385,3,童
386,3,農
387,3,波
388,3,配
389,3,倍
390,3,箱
391,3,畑
392,3,発
393,3,反
394,3,坂
395,3,板
396,3,皮
397,3,悲
398,3,美
399,3,鼻
400,3,筆
401,3,氷
402,3,表
403,3,秒
404,3,病
405,3,品
406,3,負
407,3,部
408,3,服
409,3,福
410,3,物
411,3,平
412,3,返
413,3,勉
414,3,放
415,3,味
416,3,命
417,3,面
418,3,問
419,3,役
420,3,薬
421,3,由
422,3,油
423,3,有
424,3,遊
425,3,予
426,3,羊
427,3,洋
428,3,葉
429,3,陽
430,3,様
431,3,落
432,3,流
433,3,旅
434,3,両
435,3,緑
436,3,礼
437,3,列
438,3,練
439,3,路
440,3,和
441,4,愛
442,4,案
443,4,以
444,4,衣
445,4,位
446,4,囲
447,4,胃
448,4,印
449,4,英
450,4,栄
451,4,塩
452,4,億
453,4,加
454,4,果
455,4,貨
456,4,課
457,4,芽
458,4,改
459,4,械
460,4,害
461,4,街
462,4,各
463,4,覚
464,4,完
465,4,官
466,4,管
467,4,関
468,4,観
469,4,願
470,4,希
471,4,季
472,4,紀
473,4,喜
474,4,旗
475,4,器
476,4,機
477,4,議
478,4,求
479,4,泣
480,4,救
481,4,給
482,4,挙
483,4,漁
484,4,共
485,4,協
486,4,鏡
487,4,競
488,4,極
489,4,訓
490,4,軍
491,4,郡
492,4,径
493,4,型
494,4,景
495,4,芸
496,4,欠
497,4,結
498,4,建
499,4,健
500,4,験
501,4,固
502,4,功
503,4,好
504,4,候
505,4,航
506,4,康
507,4,告
508,4,差
509,4,菜
510,4,最
511,4,材
512,4,昨
513,4,札
514,4,刷
515,4,殺
516,4,察
517,4,参
518,4,産
519,4,散
520,4,残
521,4,士
522,4,氏
523,4,史
524,4,司
525,4,試
526,4,児
527,4,治
528,4,辞
529,4,失
530,4,借
531,4,種
532,4,周
533,4,祝
534,4,順
535,4,初
536,4,松
537,4,笑
538,4,唱
539,4,焼
540,4,象
541,4,照
542,4,賞
543,4,臣
544,4,信
545,4,成
546,4,省
547,4,清
548,4,静
549,4,席
550,4,積
551,4,折
552,4,節
553,4,説
554,4,浅
555,4,戦
556,4,選
557,4,然
558,4,争
559,4,倉
560,4,巣
561,4,束
562,4,側
563,4,続
564,4,卒
565,4,孫
566,4,帯
567,4,隊
568,4,達
569,4,単
570,4,置
571,4,仲
572,4,貯
573,4,兆
574,4,腸
575,4,低
576,4,底
577,4,停
578,4,的
579,4,典
580,4,伝
581,4,徒
582,4,努
583,4,灯
584,4,堂
585,4,働
586,4,特
587,4,得
588,4,毒
589,4,熱
590,4,念
591,4,敗
592,4,梅
593,4,博
594,4,飯
595,4,飛
596,4,費
597,4,必
598,4,票
599,4,標
600,4,不
601,4,夫
602,4,付
603,4,府
604,4,副
605,4,粉
606,4,兵
607,4,別
608,4,辺
609,4,変
610,4,便
611,4,包
612,4,法
613,4,望
614,4,牧
615,4,末
616,4,満
617,4,未
618,4,脈
619,4,民
620,4,無
621,4,約
622,4,勇
623,4,要
624,4,養
625,4,浴
626,4,利
627,4,陸
628,4,良
629,4,料
630,4,量
631,4,輪
632,4,類
633,4,令
634,4,冷
635,4,例
636,4,歴
637,4,連
638,4,老
639,4,労
640,4,録
641,5,圧
642,5,移
643,5,因
644,5,永
645,5,営
646,5,衛
647,5,易
648,5,益
649,5,液
650,5,演
651,5,応
652,5,往
653,5,桜
654,5,恩
655,5,可
656,5,仮
657,5,価
658,5,河
659,5,過
660,5,賀
661,5,快
662,5,解
663,5,格
664,5,確
665,5,額
666,5,刊
667,5,幹
668,5,慣
669,5,眼
670,5,基
671,5,寄
672,5,規
673,5,技
674,5,義
675,5,逆
676,5,久
677,5,旧
678,5,居
679,5,許
680,5,境
681,5,均
682,5,禁
683,5,句
684,5,群
685,5,経
686,5,潔
687,5,件
688,5,券
689,5,険
690,5,検
691,5,限
692,5,現
693,5,減
694,5,故
695,5,個
696,5,護
697,5,効
698,5,厚
699,5,耕
700,5,鉱
701,5,構
702,5,興
703,5,講
704,5,混
705,5,査
706,5,再
707,5,災
708,5,妻
709,5,採
710,5,際
711,5,在
712,5,財
713,5,罪
714,5,雑
715,5,酸
716,5,賛
717,5,支
718,5,志
719,5,枝
720,5,師
721,5,資
722,5,飼
723,5,示
724,5,似
725,5,識
726,5,質
727,5,舎
728,5,謝
729,5,授
730,5,修
731,5,述
732,5,術
733,5,準
734,5,序
735,5,招
736,5,承
737,5,証
738,5,条
739,5,状
740,5,常
741,5,情
742,5,織
743,5,職
744,5,制
745,5,性
746,5,政
747,5,勢
748,5,精
749,5,製
750,5,税
751,5,責
752,5,績
753,5,接
754,5,設
755,5,舌
756,5,絶
757,5,銭
758,5,祖
759,5,素
760,5,総
761,5,造
762,5,像
763,5,増
764,5,則
765,5,測
766,5,属
767,5,率
768,5,損
769,5,退
770,5,貸
771,5,態
772,5,団
773,5,断
774,5,築
775,5,張
776,5,提
777,5,程
778,5,適
779,5,敵
780,5,統
781,5,銅
782,5,導
783,5,徳
784,5,独
785,5,任
786,5,燃
787,5,能
788,5,破
789,5,犯
790,5,判
791,5,版
792,5,比
793,5,肥
794,5,非
795,5,備
796,5,俵
797,5,評
798,5,貧
799,5,布
800,5,婦
801,5,富
802,5,武
803,5,復
804,5,複
805,5,仏
806,5,編
807,5,弁
808,5,保
809,5,墓
810,5,報
811,5,豊
812,5,防
813,5,貿
814,5,暴
815,5,務
816,5,夢
817,5,迷
818,5,綿
819,5,輸
820,5,余
821,5,預
822,5,容
823,5,略
824,5,留
825,5,領
826,6,異
827,6,遺
828,6,域
829,6,宇
830,6,映
831,6,延
832,6,沿
833,6,我
834,6,灰
835,6,拡
836,6,革
837,6,閣
838,6,割
839,6,株
840,6,干
841,6,巻
842,6,看
843,6,簡
844,6,危
845,6,机
846,6,揮
847,6,貴
848,6,疑
849,6,吸
850,6,供
851,6,胸
852,6,郷
853,6,勤
854,6,筋
855,6,系
856,6,敬
857,6,警
858,6,劇
859,6,激
860,6,穴
861,6,絹
862,6,権
863,6,憲
864,6,源
865,6,厳
866,6,己
867,6,呼
868,6,誤
869,6,后
870,6,孝
871,6,皇
872,6,紅
873,6,降
874,6,鋼
875,6,刻
876,6,穀
877,6,骨
878,6,困
879,6,砂
880,6,座
881,6,済
882,6,裁
883,6,策
884,6,冊
885,6,蚕
886,6,至
887,6,私
888,6,姿
889,6,視
890,6,詞
891,6,誌
892,6,磁
893,6,射
894,6,捨
895,6,尺
896,6,若
897,6,樹
898,6,収
899,6,宗
900,6,就
901,6,衆
902,6,従
903,6,縦
904,6,縮
905,6,熟
906,6,純
907,6,処
908,6,署
909,6,諸
910,6,除
911,6,将
912,6,傷
913,6,障
914,6,城
915,6,蒸
916,6,針
917,6,仁
918,6,垂
919,6,推
920,6,寸
921,6,盛
922,6,聖
923,6,誠
924,6,宣
925,6,専
926,6,泉
927,6,洗
928,6,染
929,6,善
930,6,奏
931,6,窓
932,6,創
933,6,装
934,6,層
935,6,操
936,6,蔵
937,6,臓
938,6,存
939,6,尊
940,6,宅
941,6,担
942,6,探
943,6,誕
944,6,段
945,6,暖
946,6,値
947,6,宙
948,6,忠
949,6,著
950,6,庁
951,6,頂
952,6,潮
953,6,賃
954,6,痛
955,6,展
956,6,討
957,6,党
958,6,糖
959,6,届
960,6,難
961,6,乳
962,6,認
963,6,納
964,6,脳
965,6,派
966,6,拝
967,6,背
968,6,肺
969,6,俳
970,6,班
971,6,晩
972,6,否
973,6,批
974,6,秘
975,6,腹
976,6,奮
977,6,並
978,6,陛
979,6,閉
980,6,片
981,6,補
982,6,暮
983,6,宝
984,6,訪
985,6,亡
986,6,忘
987,6,棒
988,6,枚
989,6,幕
990,6,密
991,6,盟
992,6,模
993,6,訳
994,6,郵
995,6,優
996,6,幼
997,6,欲
998,6,翌
999,6,乱
1000,6,卵
1001,6,覧
1002,6,裏
1003,6,律
1004,6,臨
1005,6,朗
1006,6,論
