kanji,is_onyomi,reading,okurigana
愛,1,あい,
愛,0,いと,しい
愛,0,かな,しい
愛,0,め,でる
愛,0,お,しむ
愛,0,まな,
悪,1,あく,
悪,1,お,
悪,0,わる,い
悪,0,わる,
悪,0,あ,し
悪,0,にく,い
悪,0,にく,い
悪,0,ああ,
悪,0,いずくに,
悪,0,いずくんぞ,
悪,0,にく,む
圧,1,あつ,
圧,1,えん,
圧,1,おう,
圧,0,お,す
圧,0,へ,す
圧,0,おさ,える
圧,0,お,さえる
安,1,あん,
安,0,やす,い
安,0,やす,まる
安,0,やす,
安,0,やす,らか
暗,1,あん,
暗,0,くら,い
暗,0,くら,む
暗,0,くれ,る
案,1,あん,
案,0,つくえ,
以,1,い,
以,0,もっ,て
位,1,い,
位,0,くらい,
位,0,ぐらい,
囲,1,い,
囲,0,かこ,む
囲,0,かこ,う
囲,0,かこ,い
委,1,い,
委,0,ゆだ,ねる
意,1,い,
易,1,えき,
易,1,い,
易,0,やさ,しい
易,0,やす,い
異,1,い,
異,0,こと,
異,0,こと,なる
異,0,け,
移,1,い,
移,0,うつ,る
移,0,うつ,す
胃,1,い,
衣,1,い,
衣,1,え,
衣,0,ころも,
衣,0,きぬ,
衣,0,ぎ,
遺,1,い,
遺,1,ゆい,
遺,0,のこ,す
医,1,い,
医,0,い,やす
医,0,い,する
医,0,くすし,
井,1,せい,
井,1,しょう,
井,0,い,
域,1,いき,
育,1,いく,
育,0,そだ,つ
育,0,そだ,ち
育,0,そだ,てる
育,0,はぐく,む
一,1,いち,
一,1,いつ,
一,0,ひと,
一,0,ひと,つ
茨,1,し,
茨,1,じ,
茨,0,いばら,
茨,0,かや,
茨,0,くさぶき,
印,1,いん,
印,0,しるし,
印,0,じるし,
印,0,しる,す
員,1,いん,
因,1,いん,
因,0,よ,る
因,0,ちな,む
引,1,いん,
引,0,ひ,く
引,0,ひ,ける
飲,1,いん,
飲,1,おん,
飲,0,の,む
飲,0,の,み
院,1,いん,
右,1,う,
右,1,ゆう,
右,0,みぎ,
宇,1,う,
羽,1,う,
羽,0,は,
羽,0,わ,
羽,0,はね,
雨,1,う,
雨,0,あめ,
雨,0,あま,
雨,0,さめ,
運,1,うん,
運,0,はこ,ぶ
雲,1,うん,
雲,0,くも,
雲,0,ぐも,
営,1,えい,
営,0,いとな,む
営,0,いとな,み
映,1,えい,
映,0,うつ,る
映,0,うつ,す
映,0,は,える
映,0,ば,え
栄,1,えい,
栄,1,よう,
栄,0,さか,える
栄,0,は,え
栄,0,ば,え
栄,0,は,える
栄,0,え,
永,1,えい,
永,0,なが,い
泳,1,えい,
泳,0,およ,ぐ
英,1,えい,
英,0,はなぶさ,
衛,1,えい,
衛,1,え,
液,1,えき,
益,1,えき,
益,1,やく,
益,0,ま,す
駅,1,えき,
円,1,えん,
円,0,まる,い
円,0,まる,
円,0,まど,
円,0,まど,か
円,0,まろ,やか
園,1,えん,
園,0,その,
延,1,えん,
延,0,の,びる
延,0,の,べる
延,0,の,べ
延,0,の,ばす
沿,1,えん,
沿,0,そ,う
沿,0,ぞ,い
演,1,えん,
遠,1,えん,
遠,1,おん,
遠,0,とお,い
塩,1,えん,
塩,0,しお,
央,1,おう,
往,1,おう,
往,0,い,く
往,0,いにしえ,
往,0,さき,に
往,0,ゆ,く
応,1,おう,
応,1,よう,
応,0,あた,る
応,0,まさに,
応,0,こた,える
横,1,おう,
横,0,よこ,
王,1,おう,
黄,1,こう,
黄,1,おう,
黄,0,き,
黄,0,こ,
岡,1,こう,
岡,0,おか,
沖,1,ちゅう,
沖,0,おき,
沖,0,おきつ,
沖,0,ちゅう,する
沖,0,わく,
億,1,おく,
屋,1,おく,
屋,0,や,
恩,1,おん,
温,1,おん,
温,0,あたた,か
温,0,あたた,かい
温,0,あたた,まる
温,0,あたた,める
温,0,ぬく,
音,1,おん,
音,1,いん,
音,0,おと,
音,0,ね,
下,1,か,
下,1,げ,
下,0,した,
下,0,しも,
下,0,もと,
下,0,さ,げる
下,0,さ,がる
下,0,くだ,る
下,0,くだ,り
下,0,くだ,す
下,0,くだ,す
下,0,くだ,さる
下,0,お,ろす
下,0,お,りる
化,1,か,
化,1,け,
化,0,ば,ける
化,0,ば,かす
化,0,ふ,ける
化,0,け,する
仮,1,か,
仮,1,け,
仮,0,かり,
仮,0,かり,
何,1,か,
何,0,なに,
何,0,なん,
何,0,なに,
何,0,なん,
価,1,か,
価,1,け,
価,0,あたい,
加,1,か,
加,0,くわ,える
加,0,くわ,わる
可,1,か,
可,1,こく,
可,0,べ,き
可,0,べ,し
夏,1,か,
夏,1,が,
夏,1,げ,
夏,0,なつ,
家,1,か,
家,1,け,
家,0,いえ,
家,0,や,
家,0,うち,
科,1,か,
果,1,か,
果,0,は,たす
果,0,はた,す
果,0,は,たす
果,0,は,てる
果,0,は,てる
果,0,は,て
歌,1,か,
歌,0,うた,
歌,0,うた,う
河,1,か,
河,0,かわ,
火,1,か,
火,0,ひ,
火,0,び,
火,0,ほ,
花,1,か,
花,1,け,
花,0,はな,
荷,1,か,
荷,0,に,
課,1,か,
貨,1,か,
貨,0,たから,
過,1,か,
過,0,す,ぎる
過,0,す,ごす
過,0,あやま,ち
過,0,あやま,つ
過,0,よぎ,る
過,0,よ,ぎる
我,1,が,
我,0,われ,
我,0,わ,
我,0,わ,が
我,0,わが,
画,1,が,
画,1,かく,
画,1,え,
画,1,かい,
画,0,えが,く
画,0,かく,する
画,0,かぎ,る
画,0,はかりごと,
画,0,はか,る
芽,1,が,
芽,0,め,
賀,1,が,
会,1,かい,
会,1,え,
会,0,あ,う
会,0,あ,わせる
会,0,あつ,まる
解,1,かい,
解,1,げ,
解,0,と,く
解,0,と,かす
解,0,と,ける
解,0,ほど,く
解,0,ほぐ,す
解,0,わか,る
解,0,さと,る
回,1,かい,
回,1,え,
回,0,まわ,る
回,0,まわ,る
回,0,まわ,り
回,0,まわ,す
回,0,まわ,す
回,0,まわ,し
回,0,まわ,し
回,0,もとお,る
回,0,か,える
快,1,かい,
快,0,こころよ,い
改,1,かい,
改,0,あらた,める
改,0,あらた,まる
械,1,かい,
械,0,かせ,
海,1,かい,
海,0,うみ,
灰,1,かい,
灰,0,はい,
界,1,かい,
絵,1,かい,
絵,1,え,
開,1,かい,
開,0,ひら,く
開,0,ひら,き
開,0,びら,き
開,0,ひら,ける
開,0,あ,く
開,0,あ,ける
階,1,かい,
階,0,きざはし,
貝,1,ばい,
貝,0,かい,
外,1,がい,
外,1,げ,
外,0,そと,
外,0,ほか,
外,0,はず,す
外,0,はず,れる
外,0,と,
害,1,がい,
街,1,がい,
街,1,かい,
街,0,まち,
各,1,かく,
各,0,おのおの,
拡,1,かく,
拡,1,こう,
拡,0,ひろ,がる
拡,0,ひろ,げる
拡,0,ひろ,める
格,1,かく,
格,1,こう,
格,1,きゃく,
格,1,ごう,
確,1,かく,
確,1,こう,
確,0,たし,か
確,0,たし,かめる
覚,1,かく,
覚,0,おぼ,える
覚,0,さ,ます
覚,0,さ,める
覚,0,さと,る
角,1,かく,
角,0,かど,
角,0,つの,
閣,1,かく,
革,1,かく,
革,0,かわ,
学,1,がく,
学,0,まな,ぶ
楽,1,がく,
楽,1,らく,
楽,1,ごう,
楽,0,たの,しい
楽,0,たの,しむ
楽,0,この,む
額,1,がく,
額,0,ひたい,
潟,1,せき,
潟,0,かた,
潟,0,がた,
割,1,かつ,
割,0,わ,る
割,0,わり,
割,0,わ,り
割,0,わ,れる
割,0,さ,く
活,1,かつ,
活,0,い,きる
活,0,い,かす
活,0,い,ける
株,1,しゅ,
株,0,かぶ,
寒,1,かん,
寒,0,さむ,い
刊,1,かん,
巻,1,かん,
巻,1,けん,
巻,0,ま,く
巻,0,まき,
巻,0,ま,き
完,1,かん,
官,1,かん,
干,1,かん,
干,0,ほ,す
干,0,ほ,し
干,0,ぼ,し
干,0,ひ,る
幹,1,かん,
幹,0,みき,
感,1,かん,
慣,1,かん,
慣,0,な,れる
慣,0,な,らす
漢,1,かん,
看,1,かん,
看,0,み,る
管,1,かん,
管,0,くだ,
簡,1,かん,
簡,1,けん,
簡,0,えら,ぶ
簡,0,ふだ,
観,1,かん,
観,0,み,る
観,0,しめ,す
間,1,かん,
間,1,けん,
間,0,あいだ,
間,0,ま,
間,0,あい,
関,1,かん,
関,0,せき,
関,0,ぜき,
関,0,かか,わる
関,0,からくり,
関,0,かんぬき,
館,1,かん,
館,0,やかた,
館,0,たて,
丸,1,がん,
丸,0,まる,
丸,0,まる,める
丸,0,まる,い
岸,1,がん,
岸,0,きし,
眼,1,がん,
眼,1,げん,
眼,0,まなこ,
眼,0,め,
岩,1,がん,
岩,0,いわ,
顔,1,がん,
顔,0,かお,
願,1,がん,
願,0,ねが,う
願,0,ねがい,
危,1,き,
危,0,あぶ,ない
危,0,あや,うい
危,0,あや,ぶむ
喜,1,き,
喜,0,よろこ,ぶ
喜,0,よろこ,ばす
器,1,き,
器,0,うつわ,
基,1,き,
基,0,もと,
基,0,もとい,
寄,1,き,
寄,0,よ,る
寄,0,よ,り
寄,0,よ,せる
岐,1,き,
岐,1,ぎ,
希,1,き,
希,1,け,
希,0,まれ,
希,0,こいねが,う
揮,1,き,
揮,0,ふる,う
机,1,き,
机,0,つくえ,
旗,1,き,
旗,0,はた,
期,1,き,
期,1,ご,
機,1,き,
機,0,はた,
帰,1,き,
帰,0,かえ,る
帰,0,かえ,す
帰,0,おく,る
帰,0,とつ,ぐ
気,1,き,
気,1,け,
気,0,いき,
気,0,き,
汽,1,き,
季,1,き,
紀,1,き,
規,1,き,
記,1,き,
記,0,しる,す
貴,1,き,
貴,0,たっと,い
貴,0,とうと,い
貴,0,たっと,ぶ
貴,0,とうと,ぶ
起,1,き,
起,0,お,きる
起,0,お,こる
起,0,お,こす
起,0,おこ,す
起,0,た,つ
技,1,ぎ,
技,0,わざ,
疑,1,ぎ,
疑,0,うたが,う
義,1,ぎ,
議,1,ぎ,
客,1,きゃく,
客,1,かく,
逆,1,ぎゃく,
逆,1,げき,
逆,0,さか,
逆,0,さか,さ
逆,0,さか,らう
久,1,きゅう,
久,1,く,
久,0,ひさ,しい
休,1,きゅう,
休,0,やす,む
休,0,やす,まる
休,0,やす,める
吸,1,きゅう,
吸,0,す,う
宮,1,きゅう,
宮,1,ぐう,
宮,1,く,
宮,1,くう,
宮,0,みや,
弓,1,きゅう,
弓,0,ゆみ,
急,1,きゅう,
急,0,いそ,ぐ
急,0,いそ,ぎ
急,0,せ,く
救,1,きゅう,
救,0,すく,う
求,1,きゅう,
求,1,ぐ,
求,0,もと,める
泣,1,きゅう,
泣,0,な,く
球,1,きゅう,
球,0,たま,
究,1,きゅう,
究,1,く,
究,0,きわ,める
級,1,きゅう,
給,1,きゅう,
給,0,たま,う
給,0,たも,う
給,0,たま,え
旧,1,きゅう,
旧,0,ふる,い
旧,0,もと,
牛,1,ぎゅう,
牛,0,うし,
